City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,khatanga,36,RU,1516485595,81,71.98,102.47,-18.0,15.68
1,ushuaia,90,AR,1516482000,54,-54.81,-68.31,55.4,16.11
2,los llanos de aridane,0,ES,1516483800,68,28.66,-17.92,64.4,11.41
3,rikitea,68,PF,1516485596,100,-23.12,-134.97,80.29,9.75
4,barrow,44,AR,1516485597,85,-38.31,-60.23,76.87,7.07
5,along,0,IN,1516485597,83,28.17,94.8,48.97,2.04
6,alyangula,76,AU,1516485598,100,-13.85,136.42,78.62,10.2
7,san quintin,40,PH,1516482000,88,17.54,120.52,71.6,2.24
8,mangai,12,CD,1516485599,95,-4.07,19.59,73.72,1.92
9,klaksvik,20,FO,1516483200,79,62.23,-6.59,28.4,7.18
10,sinop,80,TR,1516485600,93,42.03,35.15,49.96,3.49
11,jamestown,0,AU,1516485612,73,-33.21,138.6,71.51,2.82
12,bandarbeyla,92,SO,1516485616,100,9.49,50.81,74.3,12.77
13,ust-nera,8,RU,1516485617,0,64.57,143.24,-63.4,1.92
14,dikson,80,RU,1516485618,89,73.51,80.55,-5.8,32.79
15,tuktoyaktuk,20,CA,1516482000,75,69.44,-133.03,-13.01,11.41
16,busselton,0,AU,1516485621,100,-33.64,115.35,67.37,20.38
17,narsaq,88,GL,1516485000,21,60.91,-46.05,41.0,39.15
18,san vicente,20,SV,1516481400,38,13.64,-88.78,87.8,9.17
19,nyurba,56,RU,1516485635,51,63.29,118.35,-30.64,4.38
20,hilo,90,US,1516484580,83,19.71,-155.08,73.4,12.21
21,nishihara,1,JP,1516485360,86,35.74,139.53,42.8,2.37
22,kualakapuas,92,ID,1516485638,99,-3.01,114.39,72.5,2.59
23,norman wells,90,CA,1516482000,77,65.28,-126.83,1.4,12.75
24,kodiak,90,US,1516481580,81,39.95,-94.76,50.0,8.05
25,sitka,0,US,1516485639,36,37.17,-99.65,59.41,5.17
26,baie-comeau,90,CA,1516484340,75,49.22,-68.15,33.8,14.99
27,tyazhinskiy,0,RU,1516485640,77,56.11,88.52,-37.8,6.73
28,atar,44,MR,1516485640,29,20.52,-13.05,66.11,10.09
29,jacksonville,1,US,1516484100,32,30.33,-81.66,60.8,3.36
30,kapaa,90,US,1516483920,94,22.08,-159.32,75.2,5.82
31,kavieng,48,PG,1516485642,100,-2.57,150.8,82.22,7.29
32,unai,0,BR,1516485642,44,-16.36,-46.91,85.01,4.94
33,hambantota,64,LK,1516485643,100,6.12,81.12,77.27,10.98
34,tura,0,IN,1516485643,82,25.52,90.21,47.66,1.59
35,sabha,0,LY,1516485644,37,27.03,14.43,51.67,10.42
36,vaini,0,IN,1516485644,79,15.34,74.49,58.96,2.26
37,albany,75,US,1516485180,52,42.65,-73.75,44.6,9.17
38,kampot,92,KH,1516485622,99,10.62,104.18,71.51,3.71
39,kihei,40,US,1516481760,61,20.76,-156.45,80.6,6.17
40,avarua,90,CK,1516483800,83,-21.21,-159.78,80.6,13.87
41,codrington,92,AU,1516485648,98,-28.95,153.24,67.1,4.38
42,nara,20,JP,1516483800,81,34.68,135.8,42.8,4.7
43,vila velha,20,BR,1516485600,83,-3.71,-38.6,80.6,10.29
44,mataura,0,NZ,1516485649,72,-46.19,168.86,61.97,3.71
45,vostok,24,RU,1516485649,51,46.45,135.83,-10.8,6.62
46,mount gambier,0,AU,1516485650,88,-37.83,140.78,62.92,4.72
47,rawson,56,AR,1516485650,37,-43.3,-65.11,82.58,13.67
48,saint-philippe,90,CA,1516482900,69,45.36,-73.48,41.0,23.04
49,bluff,92,AU,1516485651,76,-23.58,149.07,72.95,6.85
50,gat,0,SN,1516482000,44,14.69,-16.54,75.2,7.18
51,cabo san lucas,90,MX,1516481220,44,22.89,-109.91,78.8,9.17
52,castro,64,CL,1516485653,65,-42.48,-73.76,70.21,7.96
53,saint george,20,GR,1516481400,76,39.45,22.34,50.0,4.7
54,thompson,90,CA,1516482000,77,55.74,-97.86,3.2,9.17
55,puerto ayora,20,EC,1516482000,51,-0.74,-90.35,86.0,23.04
56,saint-leu,0,RE,1516483800,88,-21.15,55.28,75.2,5.82
57,tutoia,40,BR,1516484700,78,-2.76,-42.27,82.4,9.17
58,kuusamo,90,FI,1516483200,84,65.96,29.19,8.6,8.05
59,milyutinskaya,92,RU,1516485657,98,48.63,41.67,32.18,10.2
60,evansville,90,US,1516484100,81,37.97,-87.56,44.6,9.17
61,dese,0,IT,1516483200,100,45.53,12.3,41.0,5.82
62,saint-augustin,90,FR,1516483800,93,44.83,-0.61,55.4,19.46
63,ugoofaaru,32,MV,1516485659,100,5.67,73.0,80.69,6.73
64,chuy,48,UY,1516485659,74,-33.69,-53.46,80.33,10.2
65,tasiilaq,12,GL,1516485000,38,65.61,-37.64,26.6,16.11
66,kharp,56,RU,1516485660,67,66.82,65.8,-8.5,2.82
67,mahina,0,ML,1516485661,41,13.76,-10.85,73.13,7.07
68,mar del plata,0,AR,1516485429,60,-46.43,-67.52,67.64,16.46
69,sao felix do xingu,24,BR,1516485663,83,-6.64,-51.99,79.97,2.48
70,port alfred,80,ZA,1516485664,90,-33.59,26.89,73.94,9.75
71,cidreira,76,BR,1516485664,60,-30.17,-50.22,79.16,19.26
72,saskylakh,36,RU,1516485665,72,71.97,114.09,-15.88,15.68
73,broome,68,GB,1516483200,100,52.47,1.45,35.6,8.05
74,sao gabriel,92,BR,1516485666,51,-30.34,-54.32,85.19,3.83
75,shingu,0,JP,1516485667,100,33.72,135.99,47.17,9.31
76,souillac,90,FR,1516483800,87,45.6,-0.6,55.4,23.04
77,namibe,88,AO,1516485668,100,-15.19,12.15,72.95,3.15
78,arraial do cabo,40,BR,1516482000,74,-22.97,-42.02,82.4,6.93
79,hobart,75,AU,1516483800,82,-42.88,147.33,64.4,1.12
80,quatre cocos,20,MU,1516482000,94,-20.21,57.76,75.2,4.7
81,provideniya,64,RU,1516485671,100,64.42,-173.23,25.12,20.71
